,Age,Job,Marital Status,Education,Credit,Balance (euros),Housing Loan,Personal Loan,Contact,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign,Pdays,Previous,Poutcome,Subscription
42,60.0,blue-collar,married,unknown,,104.0,yes,no,unknown,5,may,22.0,1,-1.0,0,unknown,1
43,54.0,retired,married,secondary,,529.0,yes,no,unknown,5,may,1492.0,1,-1.0,0,unknown,1
44,,,married,unknown,no,96.0,,no,unknown,5,may,616.0,1,-1.0,0,unknown,1
45,36.0,admin.,single,primary,no,-171.0,yes,no,unknown,5,may,242.0,1,,0,unknown,1
46,58.0,self-employed,married,tertiary,no,-364.0,,no,unknown,5,may,355.0,1,-1.0,0,unknown,1
47,44.0,,married,secondary,no,,yes,no,unknown,5,may,225.0,2,-1.0,0,unknown,1
48,,technician,divorced,,no,0.0,,no,unknown,5,may,160.0,1,-1.0,0,unknown,1
49,29.0,,single,,no,0.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
50,54.0,blue-collar,married,secondary,no,1291.0,yes,,unknown,5,may,266.0,1,-1.0,0,unknown,1
51,48.0,management,divorced,tertiary,,-244.0,yes,no,unknown,5,may,253.0,1,-1.0,0,unknown,1
52,32.0,management,married,,no,0.0,yes,no,unknown,5,may,179.0,1,-1.0,0,unknown,1
53,42.0,,single,,no,-76.0,yes,no,unknown,5,may,787.0,1,,0,unknown,1
54,24.0,technician,single,secondary,,,yes,yes,unknown,5,may,145.0,1,-1.0,0,unknown,1
55,38.0,entrepreneur,single,,no,243.0,no,yes,unknown,5,may,,1,,0,unknown,1
56,38.0,management,single,tertiary,no,424.0,yes,no,unknown,5,may,104.0,1,-1.0,0,unknown,1
57,47.0,blue-collar,married,unknown,,306.0,yes,no,unknown,5,may,13.0,1,-1.0,0,unknown,1
58,40.0,blue-collar,single,unknown,,24.0,yes,,unknown,5,may,185.0,1,-1.0,0,unknown,1
59,46.0,services,married,primary,no,179.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
60,32.0,admin.,,tertiary,no,0.0,,no,unknown,5,may,138.0,1,,0,unknown,1
61,53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5,may,812.0,1,-1.0,0,unknown,1
62,57.0,blue-collar,married,primary,no,249.0,yes,,unknown,5,may,164.0,1,-1.0,0,unknown,1
63,33.0,services,married,secondary,no,790.0,yes,no,unknown,5,may,391.0,1,,0,unknown,1
64,49.0,blue-collar,married,unknown,no,154.0,yes,no,unknown,5,may,357.0,1,-1.0,0,unknown,1
65,51.0,management,married,tertiary,,6530.0,yes,no,unknown,5,may,91.0,1,-1.0,0,unknown,1
66,60.0,retired,,tertiary,no,100.0,,no,unknown,5,may,528.0,1,-1.0,0,unknown,1
67,59.0,,divorced,tertiary,no,59.0,,no,unknown,5,may,273.0,1,-1.0,0,unknown,1
68,55.0,technician,married,secondary,no,1205.0,,no,unknown,5,may,158.0,2,-1.0,0,unknown,1
69,35.0,blue-collar,single,secondary,,12223.0,yes,yes,unknown,5,may,177.0,1,-1.0,0,unknown,1
70,57.0,blue-collar,married,secondary,no,,yes,yes,unknown,5,may,,1,-1.0,0,unknown,1
71,31.0,services,married,secondary,,,yes,yes,unknown,5,may,172.0,1,-1.0,0,unknown,1
72,54.0,management,married,secondary,no,282.0,yes,yes,unknown,5,may,154.0,1,-1.0,0,unknown,1
73,,blue-collar,,primary,no,,yes,no,unknown,5,may,291.0,1,-1.0,0,unknown,1
74,43.0,,,secondary,no,1937.0,yes,no,unknown,5,may,181.0,1,-1.0,0,unknown,1
75,53.0,technician,married,,no,384.0,yes,no,unknown,5,may,176.0,1,,0,unknown,1
76,44.0,blue-collar,married,secondary,,582.0,no,yes,unknown,5,may,211.0,1,-1.0,0,unknown,1
77,55.0,services,divorced,secondary,no,91.0,,no,unknown,5,may,349.0,1,-1.0,0,unknown,1
78,49.0,services,divorced,secondary,,0.0,yes,yes,unknown,5,may,272.0,1,-1.0,0,unknown,1
79,55.0,services,divorced,secondary,,1.0,yes,no,unknown,5,may,208.0,1,-1.0,0,unknown,1
80,45.0,admin.,single,secondary,no,206.0,yes,,unknown,5,may,193.0,1,-1.0,0,unknown,1
81,47.0,services,divorced,secondary,no,164.0,no,no,unknown,5,may,212.0,1,-1.0,0,unknown,1
82,42.0,,single,secondary,no,690.0,yes,no,unknown,5,may,20.0,1,-1.0,0,unknown,1
83,59.0,admin.,married,secondary,no,,yes,no,unknown,5,may,1042.0,1,-1.0,0,unknown,2
84,46.0,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5,may,246.0,1,-1.0,0,unknown,1
85,51.0,blue-collar,married,primary,no,173.0,yes,no,unknown,5,may,529.0,2,-1.0,0,unknown,1
86,56.0,admin.,married,secondary,no,,no,no,unknown,5,may,1467.0,1,-1.0,0,unknown,2
87,41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,2
88,46.0,,divorced,secondary,,,yes,,unknown,5,may,188.0,2,-1.0,0,unknown,1
89,,retired,married,,no,486.0,yes,,unknown,5,may,,2,-1.0,0,unknown,1
90,42.0,,single,,,50.0,no,no,unknown,5,may,48.0,1,-1.0,0,unknown,1
91,30.0,technician,married,secondary,no,,yes,yes,unknown,5,may,213.0,2,,0,unknown,1
92,60.0,admin.,married,secondary,no,290.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
93,60.0,blue-collar,married,,no,54.0,yes,no,unknown,5,may,221.0,1,-1.0,0,unknown,1
94,57.0,entrepreneur,divorced,secondary,no,-37.0,no,,unknown,5,may,173.0,1,-1.0,0,unknown,1
95,36.0,management,married,tertiary,no,,yes,yes,unknown,5,may,426.0,1,-1.0,0,unknown,1
96,55.0,blue-collar,,secondary,no,383.0,,no,unknown,5,may,287.0,1,-1.0,0,unknown,1
97,60.0,retired,married,tertiary,no,,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
98,39.0,technician,,secondary,no,0.0,yes,no,unknown,5,may,203.0,1,-1.0,0,unknown,1
99,46.0,management,married,,no,229.0,yes,,unknown,5,may,,1,-1.0,0,unknown,1
100,44.0,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5,may,257.0,1,,0,unknown,1
101,,blue-collar,married,,no,90.0,no,no,unknown,5,may,124.0,1,-1.0,0,unknown,1
102,52.0,blue-collar,married,,,128.0,yes,,unknown,5,may,229.0,1,-1.0,0,unknown,1
103,59.0,blue-collar,married,primary,no,179.0,yes,,unknown,5,may,55.0,3,-1.0,0,unknown,1
104,27.0,technician,single,tertiary,no,0.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
105,44.0,blue-collar,married,secondary,no,54.0,yes,no,unknown,5,may,197.0,1,,0,unknown,1
106,47.0,technician,married,tertiary,no,151.0,yes,,unknown,5,may,190.0,1,-1.0,0,unknown,1
107,34.0,admin.,married,secondary,,,no,yes,unknown,5,may,21.0,1,-1.0,0,unknown,1
108,,retired,single,secondary,,30.0,yes,,unknown,5,may,,1,,0,unknown,1
109,45.0,management,married,tertiary,no,523.0,yes,no,unknown,5,may,849.0,2,-1.0,0,unknown,1
110,29.0,,divorced,,no,31.0,yes,no,unknown,5,may,194.0,1,-1.0,0,unknown,1
111,46.0,technician,divorced,secondary,no,79.0,no,no,unknown,5,may,144.0,1,-1.0,0,unknown,1
112,56.0,self-employed,married,primary,no,-34.0,,yes,unknown,5,may,,2,-1.0,0,unknown,1
113,36.0,blue-collar,,primary,no,448.0,yes,no,unknown,5,may,286.0,1,-1.0,0,unknown,1
114,59.0,retired,divorced,primary,no,81.0,yes,no,unknown,5,may,107.0,1,-1.0,0,unknown,1
115,44.0,,married,secondary,no,144.0,yes,,unknown,5,may,247.0,2,-1.0,0,unknown,1
116,,admin.,married,secondary,no,351.0,yes,no,unknown,5,may,518.0,1,-1.0,0,unknown,1
117,,management,single,,no,,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
118,,management,divorced,tertiary,,262.0,no,no,unknown,5,may,178.0,1,-1.0,0,unknown,1
119,57.0,technician,married,primary,no,0.0,no,no,unknown,5,may,98.0,1,-1.0,0,unknown,1
120,56.0,technician,divorced,unknown,no,56.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
121,51.0,blue-collar,married,secondary,no,,yes,,unknown,5,may,79.0,1,,0,unknown,1
122,34.0,admin.,married,unknown,,3.0,yes,no,unknown,5,may,120.0,3,-1.0,0,unknown,1
123,43.0,services,married,secondary,no,,yes,yes,unknown,5,may,,2,-1.0,0,unknown,1
124,52.0,technician,married,tertiary,no,7.0,,yes,unknown,5,may,175.0,1,-1.0,0,unknown,1
125,33.0,technician,single,secondary,no,105.0,yes,no,unknown,5,may,262.0,2,-1.0,0,unknown,1
126,29.0,admin.,single,secondary,no,818.0,yes,yes,unknown,5,may,61.0,1,-1.0,0,unknown,1
127,,services,married,secondary,no,-16.0,yes,yes,unknown,5,may,78.0,1,-1.0,0,unknown,1
128,31.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
129,55.0,services,married,secondary,,2476.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,2
130,55.0,management,married,unknown,no,1185.0,no,no,unknown,5,may,677.0,1,,0,unknown,1
131,32.0,,,,no,217.0,,,unknown,5,may,345.0,1,-1.0,0,unknown,1
132,38.0,technician,,secondary,no,1685.0,yes,no,unknown,5,may,185.0,1,-1.0,0,unknown,1
133,55.0,admin.,single,secondary,,,yes,yes,unknown,5,may,100.0,2,-1.0,0,unknown,1
134,28.0,unemployed,single,tertiary,,0.0,yes,,unknown,5,may,125.0,2,-1.0,0,unknown,1
135,23.0,blue-collar,married,secondary,no,94.0,yes,,unknown,5,may,193.0,1,-1.0,0,unknown,1
136,32.0,technician,single,secondary,no,0.0,yes,no,unknown,5,may,136.0,1,,0,unknown,1
137,43.0,services,single,unknown,no,0.0,no,no,unknown,5,may,73.0,1,-1.0,0,unknown,1
138,32.0,blue-collar,married,secondary,,517.0,yes,no,unknown,5,may,528.0,1,-1.0,0,unknown,1
139,46.0,blue-collar,married,secondary,no,265.0,,,unknown,5,may,541.0,1,,0,unknown,1
140,53.0,housemaid,divorced,primary,no,947.0,yes,no,unknown,5,may,163.0,1,-1.0,0,unknown,1
141,34.0,self-employed,single,secondary,no,3.0,yes,no,unknown,5,may,301.0,1,-1.0,0,unknown,1
142,57.0,unemployed,married,tertiary,no,,no,,unknown,5,may,46.0,1,-1.0,0,unknown,1
143,37.0,blue-collar,married,secondary,no,37.0,yes,no,unknown,5,may,204.0,1,-1.0,0,unknown,1
144,59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5,may,98.0,1,-1.0,0,unknown,1
145,33.0,services,married,secondary,no,22.0,,no,unknown,5,may,71.0,1,-1.0,0,unknown,1
146,56.0,blue-collar,divorced,primary,,8.0,,no,unknown,5,may,157.0,2,,0,unknown,1
147,48.0,unemployed,married,secondary,no,293.0,yes,no,unknown,5,may,243.0,1,,0,unknown,1
148,43.0,services,married,primary,no,3.0,yes,no,unknown,5,may,,2,-1.0,0,unknown,1
149,54.0,blue-collar,married,primary,no,348.0,yes,no,unknown,5,may,579.0,2,,0,unknown,1
150,51.0,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5,may,163.0,2,-1.0,0,unknown,1
151,26.0,student,single,secondary,no,0.0,yes,,unknown,5,may,610.0,2,-1.0,0,unknown,1
152,40.0,management,married,tertiary,no,,yes,no,unknown,5,may,2033.0,1,,0,unknown,1
153,39.0,management,married,,no,18.0,yes,no,unknown,5,may,85.0,1,-1.0,0,unknown,1
154,50.0,technician,married,primary,no,139.0,no,no,unknown,5,may,114.0,2,-1.0,0,unknown,1
155,41.0,services,married,secondary,,0.0,yes,no,unknown,5,may,114.0,2,-1.0,0,unknown,1
156,51.0,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5,may,57.0,1,-1.0,0,unknown,1
157,60.0,retired,divorced,secondary,no,216.0,yes,no,unknown,5,may,238.0,1,-1.0,0,unknown,1
158,52.0,blue-collar,married,secondary,no,782.0,yes,no,unknown,5,may,93.0,3,-1.0,0,unknown,1
159,48.0,blue-collar,married,secondary,no,904.0,yes,no,unknown,5,may,128.0,2,-1.0,0,unknown,1
160,,services,married,unknown,no,1705.0,yes,,unknown,5,may,107.0,1,-1.0,0,unknown,1
161,39.0,technician,single,tertiary,no,47.0,yes,no,unknown,5,may,181.0,1,-1.0,0,unknown,1
162,47.0,services,single,secondary,no,176.0,yes,no,unknown,5,may,303.0,2,-1.0,0,unknown,1
163,40.0,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5,may,558.0,5,-1.0,0,unknown,1
164,45.0,,,secondary,no,86.0,yes,no,unknown,5,may,270.0,1,-1.0,0,unknown,1
165,26.0,admin.,single,secondary,no,82.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
166,52.0,management,married,tertiary,no,271.0,yes,no,unknown,5,may,99.0,1,,0,unknown,1
167,54.0,technician,married,secondary,no,,yes,no,unknown,5,may,240.0,1,-1.0,0,unknown,1
168,54.0,admin.,married,,no,184.0,no,,unknown,5,may,673.0,2,-1.0,0,unknown,2
169,50.0,blue-collar,married,primary,no,0.0,,no,unknown,5,may,233.0,3,-1.0,0,unknown,1
170,35.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,1056.0,1,-1.0,0,unknown,1
171,44.0,services,married,secondary,no,1357.0,,yes,unknown,5,may,250.0,1,-1.0,0,unknown,1
172,53.0,entrepreneur,,unknown,no,19.0,,no,unknown,5,may,252.0,1,-1.0,0,unknown,1
173,35.0,retired,single,,no,434.0,,no,unknown,5,may,138.0,1,-1.0,0,unknown,1
174,60.0,admin.,divorced,secondary,no,92.0,,,unknown,5,may,,1,-1.0,0,unknown,1
175,53.0,admin.,divorced,secondary,no,1151.0,yes,,unknown,5,may,412.0,1,-1.0,0,unknown,1
176,48.0,,married,secondary,no,,yes,no,unknown,5,may,179.0,2,,0,unknown,1
177,34.0,,married,secondary,no,51.0,yes,no,unknown,5,may,19.0,2,-1.0,0,unknown,1
178,54.0,services,married,secondary,no,214.0,yes,no,unknown,5,may,458.0,2,-1.0,0,unknown,1
179,,management,married,secondary,no,1161.0,yes,,unknown,5,may,717.0,1,-1.0,0,unknown,1
180,31.0,,,tertiary,no,,yes,,unknown,5,may,313.0,1,,0,unknown,1
181,35.0,technician,divorced,secondary,no,787.0,yes,no,unknown,5,may,683.0,2,-1.0,0,unknown,1
182,35.0,,married,secondary,no,59.0,yes,no,unknown,5,may,1077.0,1,-1.0,0,unknown,1
183,38.0,technician,married,secondary,,253.0,yes,no,unknown,5,may,416.0,1,-1.0,0,unknown,1
184,36.0,admin.,married,tertiary,no,211.0,yes,no,unknown,5,may,146.0,2,-1.0,0,unknown,1
185,58.0,retired,married,primary,no,,yes,,unknown,5,may,,1,-1.0,0,unknown,1
186,40.0,services,divorced,unknown,no,4384.0,yes,no,unknown,5,may,315.0,1,-1.0,0,unknown,1
187,,management,married,secondary,no,,no,no,unknown,5,may,140.0,1,-1.0,0,unknown,1
188,34.0,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5,may,346.0,1,-1.0,0,unknown,1
189,31.0,management,single,tertiary,no,0.0,,no,unknown,5,may,,1,-1.0,0,unknown,1
190,51.0,retired,married,secondary,no,,yes,,unknown,5,may,172.0,1,-1.0,0,unknown,1
191,33.0,management,married,tertiary,no,377.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
192,55.0,management,married,tertiary,no,73.0,yes,no,unknown,5,may,142.0,2,-1.0,0,unknown,1
193,42.0,admin.,married,secondary,no,445.0,yes,no,unknown,5,may,67.0,1,-1.0,0,unknown,1
194,34.0,blue-collar,married,secondary,no,243.0,yes,no,unknown,5,may,291.0,1,,0,unknown,1
195,33.0,blue-collar,single,secondary,no,307.0,yes,no,unknown,5,may,309.0,2,-1.0,0,unknown,1
196,38.0,services,married,,no,155.0,yes,no,unknown,5,may,248.0,1,-1.0,0,unknown,1
197,50.0,technician,,tertiary,no,173.0,no,yes,unknown,5,may,98.0,1,-1.0,0,unknown,1
198,43.0,management,married,tertiary,no,400.0,yes,no,unknown,5,may,256.0,1,-1.0,0,unknown,1
199,61.0,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5,may,82.0,2,-1.0,0,unknown,1
200,47.0,,married,secondary,no,,yes,no,unknown,5,may,577.0,1,-1.0,0,unknown,1
201,48.0,,married,tertiary,no,7.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
202,,,married,secondary,no,575.0,yes,no,unknown,5,may,477.0,1,-1.0,0,unknown,1
203,,student,single,unknown,no,298.0,yes,no,unknown,5,may,611.0,2,-1.0,0,unknown,1
204,35.0,,married,secondary,no,0.0,yes,no,unknown,5,may,471.0,1,-1.0,0,unknown,1
205,50.0,services,married,secondary,no,5699.0,yes,no,unknown,5,may,,2,-1.0,0,unknown,1
206,41.0,management,married,tertiary,no,176.0,yes,yes,unknown,5,may,42.0,1,,0,unknown,1
207,41.0,management,married,tertiary,no,517.0,yes,no,unknown,5,may,251.0,1,-1.0,0,unknown,1
208,39.0,services,single,unknown,no,257.0,yes,,unknown,5,may,408.0,1,-1.0,0,unknown,1
209,42.0,retired,married,secondary,no,56.0,,no,unknown,5,may,215.0,1,,0,unknown,1
210,38.0,blue-collar,,secondary,no,-390.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
211,53.0,retired,married,secondary,no,330.0,yes,no,unknown,5,may,,2,-1.0,0,unknown,1
212,59.0,,divorced,primary,no,195.0,no,no,unknown,5,may,366.0,2,,0,unknown,1
213,36.0,services,married,secondary,no,301.0,yes,no,unknown,5,may,210.0,1,-1.0,0,unknown,1
214,54.0,blue-collar,married,primary,no,-41.0,,no,unknown,5,may,288.0,1,-1.0,0,unknown,1
215,40.0,technician,married,tertiary,no,483.0,yes,,unknown,5,may,168.0,1,-1.0,0,unknown,1
216,,,married,unknown,no,28.0,no,no,unknown,5,may,338.0,2,-1.0,0,unknown,1
217,53.0,,,unknown,no,13.0,,no,unknown,5,may,410.0,3,-1.0,0,unknown,1
218,,housemaid,married,primary,no,965.0,no,no,unknown,5,may,177.0,1,-1.0,0,unknown,1
219,39.0,management,married,tertiary,no,378.0,yes,,unknown,5,may,127.0,2,-1.0,0,unknown,1
220,40.0,unemployed,married,secondary,no,219.0,yes,no,unknown,5,may,357.0,1,-1.0,0,unknown,1
221,28.0,blue-collar,married,primary,no,324.0,,no,unknown,5,may,175.0,1,-1.0,0,unknown,1
222,35.0,entrepreneur,divorced,secondary,,-69.0,yes,no,unknown,5,may,300.0,1,-1.0,0,unknown,1
223,55.0,retired,married,secondary,no,0.0,no,yes,unknown,5,may,136.0,1,,0,unknown,1
224,43.0,technician,divorced,unknown,no,205.0,yes,no,unknown,5,may,1419.0,1,-1.0,0,unknown,1
225,,blue-collar,married,primary,,278.0,yes,no,unknown,5,may,125.0,2,,0,unknown,1
226,58.0,management,married,unknown,no,1065.0,yes,,unknown,5,may,213.0,3,,0,unknown,1
227,33.0,management,single,tertiary,no,,yes,no,unknown,5,may,27.0,1,-1.0,0,unknown,1
228,36.0,,married,unknown,no,1033.0,no,no,unknown,5,may,238.0,2,-1.0,0,unknown,1
229,53.0,services,divorced,secondary,,1467.0,yes,no,unknown,5,may,124.0,1,-1.0,0,unknown,1
230,47.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,5,may,18.0,1,-1.0,0,unknown,1
231,31.0,services,married,secondary,,388.0,yes,no,unknown,5,may,,2,-1.0,0,unknown,1
232,57.0,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5,may,746.0,2,-1.0,0,unknown,1
233,53.0,blue-collar,married,unknown,no,1827.0,no,no,unknown,5,may,121.0,1,-1.0,0,unknown,1
234,55.0,blue-collar,married,,no,627.0,yes,,unknown,5,may,,1,-1.0,0,unknown,1
235,45.0,blue-collar,married,,no,25.0,,no,unknown,5,may,40.0,1,-1.0,0,unknown,1
236,,,divorced,secondary,,,yes,no,unknown,5,may,181.0,2,-1.0,0,unknown,1
237,37.0,blue-collar,married,,no,0.0,yes,no,unknown,5,may,79.0,1,,0,unknown,1
238,44.0,admin.,divorced,secondary,,66.0,yes,no,unknown,5,may,206.0,1,-1.0,0,unknown,1
239,49.0,blue-collar,divorced,primary,no,,yes,yes,unknown,5,may,389.0,1,,0,unknown,1
240,46.0,technician,,secondary,no,349.0,yes,yes,unknown,5,may,,1,-1.0,0,unknown,1
241,43.0,entrepreneur,married,unknown,no,100.0,yes,no,unknown,5,may,702.0,1,-1.0,0,unknown,1
242,38.0,admin.,married,secondary,no,,no,no,unknown,5,may,,1,-1.0,0,unknown,1
243,43.0,technician,married,secondary,no,434.0,yes,no,unknown,5,may,117.0,1,,0,unknown,1
244,49.0,,married,,no,3237.0,yes,no,unknown,5,may,232.0,3,-1.0,0,unknown,1
245,42.0,management,married,unknown,no,275.0,no,no,unknown,5,may,408.0,2,-1.0,0,unknown,1
246,22.0,blue-collar,single,secondary,no,0.0,yes,,unknown,5,may,179.0,2,-1.0,0,unknown,1
247,40.0,management,married,tertiary,no,,yes,no,unknown,5,may,39.0,1,-1.0,0,unknown,1
248,39.0,blue-collar,married,secondary,no,483.0,,no,unknown,5,may,,1,-1.0,0,unknown,1
249,51.0,services,married,secondary,no,2248.0,yes,no,unknown,5,may,714.0,2,-1.0,0,unknown,1
250,49.0,admin.,married,secondary,no,428.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
251,53.0,blue-collar,married,secondary,,0.0,yes,yes,unknown,5,may,181.0,1,,0,unknown,1
252,34.0,services,single,secondary,no,,yes,,unknown,5,may,,1,-1.0,0,unknown,1
253,33.0,technician,divorced,,no,140.0,yes,no,unknown,5,may,227.0,1,-1.0,0,unknown,1
254,50.0,management,single,tertiary,no,297.0,yes,,unknown,5,may,119.0,1,-1.0,0,unknown,1
255,39.0,blue-collar,married,primary,no,279.0,,no,unknown,5,may,361.0,1,-1.0,0,unknown,1
256,59.0,entrepreneur,divorced,secondary,no,,,no,unknown,5,may,73.0,3,-1.0,0,unknown,1
257,30.0,technician,single,secondary,,2573.0,,no,unknown,5,may,67.0,2,-1.0,0,unknown,1
258,36.0,services,married,secondary,no,143.0,yes,yes,unknown,5,may,350.0,1,-1.0,0,unknown,1
259,40.0,blue-collar,,secondary,no,,yes,no,unknown,5,may,332.0,2,-1.0,0,unknown,1
260,,blue-collar,married,secondary,no,70.0,,no,unknown,5,may,611.0,2,-1.0,0,unknown,1
261,,management,single,tertiary,no,,yes,no,unknown,5,may,113.0,2,-1.0,0,unknown,1
262,37.0,technician,married,secondary,no,275.0,yes,no,unknown,5,may,132.0,1,-1.0,0,unknown,1
263,42.0,management,divorced,tertiary,no,742.0,,no,unknown,5,may,58.0,3,-1.0,0,unknown,1
264,41.0,entrepreneur,married,primary,no,236.0,yes,no,unknown,5,may,151.0,1,-1.0,0,unknown,1
265,30.0,student,single,tertiary,,25.0,,no,unknown,5,may,89.0,2,-1.0,0,unknown,1
266,37.0,management,single,tertiary,,,yes,no,unknown,5,may,152.0,1,-1.0,0,unknown,1
267,39.0,admin.,divorced,secondary,no,-349.0,yes,no,unknown,5,may,,2,-1.0,0,unknown,1
268,41.0,blue-collar,married,primary,no,183.0,,yes,unknown,5,may,,2,-1.0,0,unknown,1
